transition_id,peak_id,level_initial_id,level_final_id,decay_parent,decay_daughter,e_gamma_keV,de_gamma_keV,e_level_initial_keV,e_level_final_keV,origin,quality_flag,comment,fwhm_keV,fwhm_err_percent,integral_counts,integral_err,efficiency,efficiency_err,fit_error_percent,emitted,emitted_err,emitted_plus_ic,emitted_plus_ic_err,relative_percent,relative_err_percent,absolute_percent,absolute_err_percent,absolute_sum_percent,alpha_tot,multipolarity,icc_no_ic,icc_E1,icc_M1,icc_E2,icc_M2,icc_E3,icc_M3,icc_E4,icc_M4,icc_E5,icc_M5,in_scheme,source_table
tr_lv_1368_lv_0,pk_1367p97,lv_1368,lv_0,122Ag,122Cd,1367.97,0.10,1367.88,0,known,normal,,2.63,2.97,7318,86,0.01851,0.00008,0.42828,395402,1693,395402,1693,3.0845,0.0443,2.7521,0.0440,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_1992_lv_569,pk_1422p69,lv_1992,lv_569,122Ag,122Cd,1422.69,0.11,1992.05,569.36,known,normal,,2.45,2.22,2650,51,0.01794,0.00008,0.44296,147671,654,147671,654,1.1520,0.0244,1.0278,0.0229,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_2196_lv_569,pk_1627p05,lv_2196,lv_569,122Ag,122Cd,1627.05,0.12,2196.41,569.36,known,normal,,2.87,2.41,3253,57,0.01611,0.00008,0.50239,201924,1014,201924,1014,1.5752,0.0309,1.4054,0.0293,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_3050_lv_1329,pk_1721p39,lv_3050,lv_1329,122Ag,122Cd,1721.39,0.13,3050.48,1328.92,new,normal,,2.90,10.36,1931,44,0.01538,0.00008,0.53126,125480,667,125480,667,0.9788,0.0239,0.8734,0.0222,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_2316_lv_569,pk_1746p49,lv_2316,lv_569,122Ag,122Cd,1746.49,0.12,2315.85,569.36,known,possible_escape_peak,2767 keV single escape?,2.58,0.35,2465,50,0.01520,0.00008,0.53906,162142,874,162142,874,1.2648,0.0279,1.1285,0.0261,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_2578_lv_569,pk_2008p21,lv_2578,lv_569,122Ag,122Cd,2008.21,0.11,2577.57,569.36,known,normal,,3.16,1.58,4451,67,0.01353,0.00008,0.62329,328967,2050,328967,2050,2.5662,0.0455,2.2897,0.0437,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_4955_lv_2923,pk_2031p71,lv_4955,lv_2923,122Ag,122Cd,2031.71,0.13,4955.00,2923.29,new,doublet_affected,doublet?,2.44,6.45,1120,33,0.01340,0.00008,0.63115,83608,528,83608,528,0.6522,0.0205,0.5819,0.0187,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_2668_lv_569,pk_2098p96,lv_2668,lv_569,122Ag,122Cd,2098.96,0.14,2668.27,569.36,new,normal,,2.33,5.64,932,31,0.01303,0.00009,0.65394,71491,468,71491,468,0.5577,0.0191,0.4976,0.0174,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_2936_lv_569,pk_2366p11,lv_2936,lv_569,122Ag,122Cd,2366.11,0.16,2935.58,569.36,new,normal,,2.94,1.20,735,27,0.01175,0.00009,0.74969,62517,469,62517,469,0.4877,0.0187,0.4351,0.0170,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_4302_lv_1705,pk_2596p22,lv_4302,lv_1705,122Ag,122Cd,2596.22,0.24,4301.94,1704.59,new,normal,,3.89,0.86,811,28,0.01083,0.00009,0.83977,74856,629,74856,629,0.5839,0.0215,0.5210,0.0195,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_4135_lv_1368,pk_2767p02,lv_4135,lv_1368,122Ag,122Cd,2767.02,0.13,4134.90,1367.88,new,normal,,3.72,10.26,2830,53,0.01023,0.00009,0.91160,276637,2522,276637,2522,2.1580,0.0477,1.9254,0.0446,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_3467_lv_569,pk_2897p36,lv_3467,lv_569,122Ag,122Cd,2897.36,0.11,3466.95,569.36,new,normal,,3.41,2.82,3360,58,0.00982,0.00010,0.96930,342247,3318,342247,3318,2.6698,0.0562,2.3821,0.0529,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_2936_lv_0,pk_2935p68,lv_2936,lv_0,122Ag,122Cd,2935.68,0.12,2935.58,0,new,normal,,3.46,0.79,1531,39,0.00970,0.00010,0.98673,157775,1557,157775,1557,1.2308,0.0349,1.0981,0.0320,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_3555_lv_569,pk_2985p13,lv_3555,lv_569,122Ag,122Cd,2985.13,0.16,3554.80,569.36,new,normal,,3.63,4.63,854,29,0.00956,0.00010,1.00955,89321,902,89321,902,0.6968,0.0254,0.6217,0.0230,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_3608_lv_569,pk_3038p15,lv_3608,lv_569,122Ag,122Cd,3038.15,0.25,3607.51,569.36,new,normal,,2.89,0.10,282,17,0.00940,0.00010,1.03441,29986,310,29986,310,0.2339,0.0142,0.2087,0.0128,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_3050_lv_0,pk_3050p64,lv_3050,lv_0,122Ag,122Cd,3050.64,0.11,3050.48,0,new,normal,,3.20,0.62,1853,43,0.00937,0.00010,1.04032,197767,2058,197767,2058,1.5427,0.0408,1.3765,0.0377,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_3809_lv_569,pk_3239p21,lv_3809,lv_569,122Ag,122Cd,3239.21,0.12,3808.60,569.36,new,normal,,3.60,1.12,1635,40,0.00887,0.00010,1.13227,184268,2087,184268,2087,1.4374,0.0404,1.2825,0.0372,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_3467_lv_0,pk_3467p18,lv_3467,lv_0,122Ag,122Cd,3467.18,0.11,3466.95,0,new,normal,,3.71,0.54,2755,52,0.00834,0.00010,1.24979,330379,4130,330379,4130,2.5772,0.0616,2.2995,0.0573,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_3555_lv_0,pk_3555p10,lv_3555,lv_0,122Ag,122Cd,3555.10,0.13,3554.80,0,new,normal,,3.38,4.12,810,28,0.00815,0.00011,1.29688,99326,1288,99326,1288,0.7748,0.0296,0.6913,0.0268,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_4302_lv_569,pk_3732p81,lv_4302,lv_569,122Ag,122Cd,3732.81,0.18,4301.94,569.36,new,normal,,4.13,1.57,756,27,0.00779,0.00011,1.39482,97000,1353,97000,1353,0.7567,0.0300,0.6751,0.0272,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_3809_lv_0,pk_3808p63,lv_3809,lv_0,122Ag,122Cd,3808.63,0.12,3808.60,0,new,normal,,3.85,2.83,1514,39,0.00765,0.00011,1.43769,197872,2845,197872,2845,1.5436,0.0468,1.3772,0.0429,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_4084_lv_0,pk_4084p20,lv_4084,lv_0,122Ag,122Cd,4084.20,0.18,4084.20,0,new,normal,,4.32,0.43,728,27,0.00718,0.00011,1.59848,101435,1622,101435,1622,0.7913,0.0324,0.7060,0.0294,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_4302_lv_0,pk_4302p83,lv_4302,lv_0,122Ag,122Cd,4302.83,0.18,4301.94,0,new,normal,,4.41,3.77,468,22,0.00684,0.00012,1.73106,68318,1183,68318,1183,0.5329,0.0266,0.4755,0.0240,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
